"subject","stimuli","item","list","speaker_group","response_identification","response_certainty","correct","listener_group","geq_ger_each","geq_viet_each","MISS_hybr_mean","MISS_alt_mean"
13451398,"18_VG_Male_C.mp3",18,"list_16","bicultural viet-german","vietdeutsch",4,1,"monocultural german",2.58,,,
13451398,"15_VG_Fem_A.mp3",15,"list_16","bicultural viet-german","deutsch",4,0,"monocultural german",2.58,,,
13451398,"43_VG_Male_B.mp3",43,"list_16","bicultural viet-german","vietdeutsch",4,1,"monocultural german",2.58,,,
13451398,"10_VG_Fem_D.mp3",10,"list_16","bicultural viet-german","deutsch",2,0,"monocultural german",2.58,,,
13451398,"31_G_Male_C.mp3",31,"list_16","monocultural german","deutsch",4,1,"monocultural german",2.58,,,
13451398,"54_VG_Fem_D.mp3",54,"list_16","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.58,,,
13451398,"48_G_Fem_B.mp3",48,"list_16","monocultural german","deutsch",4,1,"monocultural german",2.58,,,
13451398,"38_VG_Fem_C.mp3",38,"list_16","bicultural viet-german","vietdeutsch",3,1,"monocultural german",2.58,,,
13451398,"23_VG_Male_A.mp3",23,"list_16","bicultural viet-german","vietdeutsch",3,1,"monocultural german",2.58,,,
13451398,"50_G_Male_D.mp3",50,"list_16","monocultural german","deutsch",2,1,"monocultural german",2.58,,,
13451398,"49_G_Fem_A.mp3",49,"list_16","monocultural german","deutsch",4,1,"monocultural german",2.58,,,
13451398,"63_VG_Male_A.mp3",63,"list_16","bicultural viet-german","vietdeutsch",4,1,"monocultural german",2.58,,,
13451398,"52_G_Male_B.mp3",52,"list_16","monocultural german","deutsch",5,1,"monocultural german",2.58,,,
13451398,"40_VG_Fem_A.mp3",40,"list_16","bicultural viet-german","deutsch",4,0,"monocultural german",2.58,,,
13451398,"59_VG_Male_D.mp3",59,"list_16","bicultural viet-german","deutsch",3,0,"monocultural german",2.58,,,
13451398,"42_VG_Male_C.mp3",42,"list_16","bicultural viet-german","vietdeutsch",3,1,"monocultural german",2.58,,,
13451398,"14_VG_Fem_B.mp3",14,"list_16","bicultural viet-german","vietdeutsch",4,1,"monocultural german",2.58,,,
13451398,"44_VG_Male_A.mp3",44,"list_16","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.58,,,
13451398,"5_G_Male_D.mp3",5,"list_16","monocultural german","deutsch",4,1,"monocultural german",2.58,,,
13451398,"47_G_Fem_C.mp3",47,"list_16","monocultural german","deutsch",2,1,"monocultural german",2.58,,,
13451398,"41_VG_Male_D.mp3",41,"list_16","bicultural viet-german","vietdeutsch",3,1,"monocultural german",2.58,,,
13457357,"16_VG_Fem_A.mp3",16,"list_1","bicultural viet-german","deutsch",4,0,"monocultural german",2.85,,,
