"subject","stimuli","item","list","speaker_group","response_identification","response_certainty","correct","listener_group","geq_ger_each","geq_viet_each","MISS_hybr_mean","MISS_alt_mean"
"13436837","33_VG_Fem_D.mp3",33,"list_14","bicultural viet-german","deutsch",3,0,"monocultural german",3,0,0,0
"13436837","22_G_Fem_D.mp3",22,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","51_G_Male_A.mp3",51,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","37_VG_Fem_B.mp3",37,"list_14","bicultural viet-german","vietdeutsch",4,1,"monocultural german",3,0,0,0
"13436837","61_VG_Male_A.mp3",61,"list_14","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3,0,0,0
"13436837","15_VG_Male_C.mp3",15,"list_14","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3,0,0,0
"13436837","10_VG_Fem_B.mp3",10,"list_14","bicultural viet-german","vietdeutsch",3,1,"monocultural german",3,0,0,0
"13436837","2_G_Fem_A.mp3",2,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","27_G_Fem_A.mp3",27,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","63_G_Fem_C.mp3",63,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","28_G_Male_D.mp3",28,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","23_G_Fem_C.mp3",23,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","57_VG_Male_C.mp3",57,"list_14","bicultural viet-german","deutsch",3,0,"monocultural german",3,0,0,0
"13436837","35_VG_Fem_C.mp3",35,"list_14","bicultural viet-german","deutsch",4,0,"monocultural german",3,0,0,0
"13436837","45_G_Fem_B.mp3",45,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","16_VG_Male_B.mp3",16,"list_14","bicultural viet-german","deutsch",2,0,"monocultural german",3,0,0,0
"13436837","6_G_Male_A.mp3",6,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","42_VG_Male_A.mp3",42,"list_14","bicultural viet-german","deutsch",3,0,"monocultural german",3,0,0,0
"13439105","28_G_Male_B.mp3",28,"list_12","monocultural german","deutsch",2,1,"monocultural german",3,0,0,0
"13439105","3_G_Male_B.mp3",3,"list_12","monocultural german","deutsch",2,1,"monocultural german",3,0,0,0
"13439105","44_G_Fem_A.mp3",44,"list_12","monocultural german","vietdeutsch",2,0,"monocultural german",3,0,0,0
"13439105","26_G_Male_D.mp3",26,"list_12","monocultural german","vietdeutsch",2,0,"monocultural german",3,0,0,0
"13439105","14_VG_Male_B.mp3",14,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3,0,0,0
"13439105","11_VG_Male_C.mp3",11,"list_12","bicultural viet-german","deutsch",3,0,"monocultural german",3,0,0,0
"13439105","27_G_Male_C.mp3",27,"list_12","monocultural german","deutsch",3,1,"monocultural german",3,0,0,0
